,ANÁLISIS / ANALYSES,UNIDADES / UNIT,MIN,MAX,MÉTODO / METHOD,RESULTADOS DE CALIDAD / QUALITY RESULTS,CLIENTE,PRODUCTO,FECHA,NUM PAGINA,ARCHIVO,INCERTIDUMBRE/ UNCERTAINTY %
147,RESIDUO,% Vol.,,"2,0",ASTM D86,0.9,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
148,RECUPERADO @ 70 ℃,% Vol.,Reportar,-,ASTM D86,20.0,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
149,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,1,4,ASTM D-381,N/D,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
150,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
151,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
152,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
153,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
154,MERCAPTANO COMO AZUFRE,% Peso,$,0.0015,ASTM D-3227,0.0006,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
155,COLOR,-,Incoloro,,,Amarillo,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
156,OLOR,-,Comerciable,,,Comerciable,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
157,DENSIDAD @ 15 °C,Kg/L,Reportar,,ASTM D-1298,0.7464,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
158,GRAVEDAD API @ 60 ° F,+,Reportar,,ASTM D-1298,58.0,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
159,INDICE ANTIDETONANTE,-,Reportar,,Calculo,90.2,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-01-21 12:27:00,1,2023 01 051.pdf,
160,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,91.8,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
161,NUMERO DE OCTANO METODO MOTOR (MON),1,76,,ASTM D-2700,84.2,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
162,CONTENIDO DE PLOMO,G/gal,-,0.02,ASTM D-3237,N/D,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
163,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,1,10.0,ASTM D-323,9.35,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
164,RVP + 0.1 E 70 °C,-,Reportar,.,Calculo,12.05,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
165,DESTILACION 10% VOL. RECUPERADO,º C,,75,ASTM D86,54,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
166,DESTILACION 50% VOL. RECUPERADO,,-,121,ASTM D86,95,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
167,DESTILACION 90% VOL. RECUPERADO,,-,190,ASTM D86,154,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
168,PUNTO FINAL,℃,,225,ASTM D86,201,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
169,RESIDUO,% Vol.,,"2,0",ASTM D86,0.4,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
170,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,27.0,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
171,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,1.0,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
172,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
173,CONTENIDO DE AZUFRE,% Peso,ʻ,0.15,ASTM D-4294,N/D,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
174,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
175,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
176,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0008,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
177,COLOR,,Naranja,,,Rojo,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
178,OLOR,,Comerciable,,,Comerciable,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
179,DENSIDAD @ 15 °C,Kg/L,Reportar,,ASTM D-1298,0.7386,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
180,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,60.0,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
181,INDICE ANTIDETONANTE,-,Reportar,,Calculo,88.0,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,2,2023 01 051.pdf,
182,NUMERO DE OCTANO METODO RESEARCH (RON),,89,1,ASTM D-2699,94.3,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,3,2023 01 051.pdf,
183,NUMERO DE OCTANO METODO MOTOR (MON),,76,,ASTM D-2700,82.4,"ECOPETROLEO AV. DUARTE
DÍA ANÁLISIS",GASOLINA REGULAR,2023-01-21 12:27:00,3,2023 01 051.pdf,
184,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,91.5,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
185,NUMERO DE OCTANO METODO MOTOR (MON),,76,.,ASTM D-2700,83.9,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
186,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
187,PRESION A VAPOR REID (RVP) @ 100 ° F,PSI,,10.0,ASTM D-323,8.91,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
188,RVP + 0.1 E 70 °C,.,Reportar,.,Calculo,:unselected: 11.71,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
189,DESTILACION 10% VOL. RECUPERADO,,,75,ASTM D86,54,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
190,DESTILACION 50% VOL. RECUPERADO,C,,121,ASTM D86,97,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
191,DESTILACION 90% VOL. RECUPERADO,°C,.,190,ASTM D86,158,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
192,PUNTO FINAL,°C,1,225,ASTM D86,207,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
193,RESIDUO,% Vol.,.,2.0,ASTM D86,0.5,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
194,RECUPERADO @ 70 ℃,% Vol.,Reportar,-,ASTM D86,28.0,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
195,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,.,1,ASTM D-381,0.8,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
196,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
197,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
198,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
199,PRUEBA DOCTOR,Adim.,Negativo,.,IP-30,Negativo,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
200,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0007,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
201,COLOR,,Naranja,,,Rojo,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
202,OLOR,,Comerciable,,,Comerciable,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
203,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7464,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
204,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,58.0,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
205,INDICE ANTIDETONANTE,,Reportar,,Calculo,87.7,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
206,ASPECTO,.,Claro y Brillante,,,C&B,TEXACO JUANA INES,GASOLINA REGULAR,2023-01-20 16:54:00,1,2023 01 045.pdf,
207,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,94.5,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
208,NUMERO DE OCTANO METODO MOTOR (MON),.,82,.,ASTM D-2700,85.6,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
209,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
210,PRESION A VAPOR REID (RVP) @ 100 ° F,PSI,,10.0,ASTM D-323,8.48,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
211,RVP + 0.1 E 70 ° C,.,Reportar,.,Calculo,10.41,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
212,DESTILACION 10% VOL. RECUPERADO,°C,,75,ASTM D86,59,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
213,DESTILACIÓN 50% VOL. RECUPERADO,·C,,121,ASTM D86,112,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
214,DESTILACION 90% VOL. RECUPERADO,U,.,190,ASTM D86,171,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
215,PUNTO FINAL,·c,,225,ASTM D86,217,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
216,RESIDUO,% Vol.,,"2,0",ASTM D86,0.6,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
217,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,19.29,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
218,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,.,4,ASTM D-381,1.0,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
219,PERIODO DE INDUCCION,Minutos,240,-,ASTM D-525,>240,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
220,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
221,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
222,PRUEBA DOCTOR,Adim.,Negativo,.,IP-30,Negativo,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
223,MERCAPTANO COMO AZUFRE,% Peso,.,0.0015,ASTM D-3227,0.0005,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
224,COLOR,,Incoloro,,.,Amarillo,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
225,OLOR,,Comerciable,,,Comerciable,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
226,DENSIDAD @ 15 °℃,Kg/L,Reportar,,ASTM D-1298,0.7425,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
227,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,59.0,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
228,INDICE ANTIDETONANTE,,Reportar,,Calculo,90.0,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
229,ASPECTO,,Claro y Brillante,,,C&B,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,2,2023 01 045.pdf,
230,NUMERO DE OCTANO METODO RESEARCH (RON),,95,.,ASTM D-2699,94.1,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,3,2023 01 045.pdf,
231,NUMERO DE OCTANO METODO MOTOR (MON),.,82,,ASTM D-2700,85.3,TEXACO JUANA INES,GASOLINA PREMIUM,2023-01-20 16:54:00,3,2023 01 045.pdf,
232,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,95.6,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
233,NUMERO DE OCTANO METODO MOTOR (MON),.,82,.,ASTM D-2700,86.5,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
234,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
235,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,9.83,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
236,RVP + 0.1 E 70 °C,,Reportar,.,Calculo,13.30,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
237,DESTILACION 10% VOL. RECUPERADO,º C,,75,ASTM D86,46,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
238,DESTILACION 50% VOL RECUPERADO,℃,,121,ASTM D86,101,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
239,DESTILACION 90% VOL RECUPERADO,,-,190,ASTM D86,166,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
240,PUNTO FINAL,℃,-,225,ASTM D86,198,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
241,RESIDUO,% Vol.,,"2,0",ASTM D86,0.8,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
242,RECUPERADO @ 70 °C,% Vol.,Reportar,-,ASTM D86,34.67,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
243,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,N/D,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
244,PERIODO DE INDUCCION,Minutos,240,.,ASTM D-525,>240,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
245,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
246,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 °℃),Adim.,,No. 1,ASTM D-130,1A,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
247,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
248,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0002,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
249,COLOR,-,Incoloro,,1,Amarillo,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
250,OLOR,",",Comerciable,,,Comerciable,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
251,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7464,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
252,GRAVEDAD API @ 60 ° F,-,Reportar,,ASTM D-1298,58.0,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
253,INDICE ANTIDETONANTE,,Reportar,,Calculo,91.1,"ESSO REPUBLICA DOMINICANA
DÍA",GASOLINA PREMIUM,2023-03-30 19:57:00,1,2023 03 140.pdf,
254,NUMERO DE OCTANO METODO RESEARCH (RON],",",89,.,ASTM D-2699,92.0,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
255,NUMERO DE OCTANO METODO MOTOR (MON),",",76,",",ASTM D-2700,82.9,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
256,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
257,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,9.54,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
258,RVP + 0.1 E 70 °C,.,Reportar,.,Calculo,13.84,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
259,DESTILACION 10% VOL RECUPERADO,,,75,ASTM D86,44,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
260,DESTILACION 50% VOL. RECUPERADO,,,121,ASTM D86,86,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
261,DESTILACION 90% VOL RECUPERADO,℃,,190,ASTM D86,158,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
262,PUNTO FINAL,·℃,-,225,ASTM D86,192,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
263,RESIDUO,% Vol.,,"2,0",ASTM D86,0.8,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
264,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,43.14,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
265,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,",",4,ASTM D-381,0.2,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
266,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
267,CONTENIDO DE AZUFRE,% Peso,1,0.15,ASTM D-4294,N/D,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
268,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
269,PRUEBA DOCTOR,Adim.,Negativo,1,IP-30,Negativo,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
270,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0006,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
271,COLOR,,Naranja,,,Amarillo,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
272,OLOR,,Comerciable,,,Comerciable,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
273,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7236,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
274,GRAVEDAD API @ 60 ° F,,Reportar,-,ASTM D-1298,64.0,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
275,INDICE ANTIDETONANTE,,Reportar,,Calculo,87.4,ESSO REPUBLICA DOMINICANA,GASOLINA REGULAR,2023-03-30 19:57:00,2,2023 03 140.pdf,
276,NUMERO DE OCTANO METODO RESEARCH (RON),.,95,1,ASTM D-2699,95.5,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
277,NUMERO DE OCTANO METODO MOTOR (MON),,82,.,ASTM D-2700,86.0,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
278,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
279,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.18,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
280,RVP + 0.1 E 70 °C,-,Reportar,-,Calculo,10.53,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
281,DESTILACION 10% VOL. RECUPERADO,·C,,75,ASTM D86,54,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
282,DESTILACION 50% VOL. RECUPERADO,℃,,121,ASTM D86,102,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
283,DESTILACION 90% VOL. RECUPERADO,ºC,,190,ASTM D86,174,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
284,PUNTO FINAL,℃,,225,ASTM D86,194,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
285,RESIDUO,% Voi.,,"2,0",ASTM D86,0.5,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
286,RECUPERADO @ 70 °C,% Vol.,Reportar,-,ASTM D86,23.50,NEXT LAS AMERICAS,GASOLINA PREMIUM,2023-05-06 07:05:00,1,2023 06 011.pdf,
